,Year,MAE,Pearson_Correlation,MAPE,Alpha,L1_ratio,λ_1,λ_2,Min number of weights from cv,Max number of weights from cv,Number Of Non-Zero Weights
0,2014-2015,1.29328,0.9447,23.62001,0.048,0.7,0.034,0.007,29.33333,388.0,209
1,2015-2016,1.44596,0.946,23.66395,0.052,0.7,0.036,0.008,22.66667,392.33333,190
2,2016-2017,2.01269,0.93591,45.80763,0.071,0.7,0.05,0.011,17.66667,388.66667,174
3,2017-2018,2.28697,0.97649,39.15663,0.003,0.7,0.002,0.0,13.0,389.66667,369
4,2018-2019,1.95591,0.95943,47.82319,0.003,0.7,0.002,0.0,13.66667,389.33333,366
5,Average,1.79896 +- 0.37116,0.95251 +- 0.01416,36.01428 +- 10.50127,0.0354,0.7,,,,,
