,Year,MAE,Pearson_Correlation,MAPE,Alpha,L1_ratio,λ_1,λ_2,Min number of weights from cv,Max number of weights from cv,Number Of Non-Zero Weights
0,2014-2015,1.29328,0.94470,23.62001,0.048,0.7,0.03360,0.00720,29.33333,388.0,209
1,2015-2016,1.66341,0.94023,26.09774,0.370,0.7,0.25900,0.05550,22.66667,392.33333,59
2,2016-2017,2.01269,0.93591,45.80763,0.071,0.7,0.04970,0.01065,17.66667,388.66667,174
3,2017-2018,2.28697,0.97649,39.15663,0.003,0.7,0.00210,0.00045,13.0,389.66667,369
4,2018-2019,1.95591,0.95943,47.82319,0.003,0.7,0.00210,0.00045,13.66667,389.33333,366
5,Average,1.84245 +- 0.33856,0.95135,36.50104,0.099,0.7,,,,,
