,Year,MAE,MAE,Pearson_Correlation,Pearson_Correlation,MAPE,MAPE
,,mean,std,mean,std,mean,std
0,2014-2015,1.22302,0.01721,0.94956,0.00105,21.5845,1.07173
1,2015-2016,1.18349,0.03134,0.96706,0.00177,17.83543,0.89334
2,2016-2017,2.31559,0.16995,0.96107,0.00218,49.3343,6.28532
3,2017-2018,1.64373,0.15641,0.98604,0.00114,23.27467,1.75138
4,2018-2019,1.43774,0.10556,0.97054,0.00204,33.42014,2.46574
5,Average,1.56071,0.03494,0.96685,0.00065,29.08981,1.15337
