,Year,MAE,Pearson_Correlation,MAPE,Alpha,L1_ratio,λ_1,λ_2,Min number of weights from cv,Max number of weights from cv,Number Of Non-Zero Weights
0,2014-2015,1.47291,0.92627,24.17237,0.38,0.7,0.266,0.057,20.2,387.8,62
1,2015-2016,1.64054,0.94055,26.24289,0.41,0.7,0.287,0.0615,16.5,387.0,59
2,2016-2017,2.30053,0.95654,57.49908,0.46,0.7,0.322,0.069,13.42857,390.85714,60
3,2017-2018,2.80665,0.97054,49.83044,0.78,0.7,0.546,0.117,10.125,390.125,43
4,2018-2019,3.48273,0.94918,111.96785,0.65,0.7,0.455,0.0975,12.88889,390.11111,45
5,Average,2.34067 +- 0.74381,0.94862 +- 0.01489,53.94253 +- 31.78059,0.536,0.7,,,,,
