Flu Season,Period,MAE
2014-2015,2014-09-01 - 2014-12-01,1.28683
2014-2015,2014-12-02 - 2015-01-20,2.78921
2014-2015,2015-01-21 - 2015-08-31,1.15593
2015-2016,2015-09-01 - 2015-12-30,1.25627
2015-2016,2015-12-31 - 2016-03-24,2.82598
2015-2016,2016-03-25 - 2016-08-31,0.83083
2016-2017,2016-09-01 - 2016-12-01,1.31823
2016-2017,2016-12-02 - 2017-01-30,3.49607
2016-2017,2017-01-31 - 2017-08-31,2.62377
2017-2018,2017-09-01 - 2017-12-30,1.91442
2017-2018,2017-12-31 - 2018-02-08,8.15408
2017-2018,2018-02-09 - 2018-08-31,1.22626
2018-2019,2018-09-01 - 2018-12-28,1.63307
2018-2019,2018-12-29 - 2019-02-18,4.20157
2018-2019,2019-02-19 - 2019-08-31,1.82956
