,Year,MAE,MAE,Pearson_Correlation,Pearson_Correlation,MAPE,MAPE
,,mean,std,mean,std,mean,std
0,2014-2015,1.06202,0.0326,0.96148,0.0024,18.06434,1.36614
1,2015-2016,1.26507,0.17558,0.97114,0.00106,16.77251,2.53285
2,2016-2017,1.11235,0.17986,0.9654,0.00268,23.63212,4.06229
3,2017-2018,1.55977,0.10543,0.98829,0.00153,23.77386,5.45465
4,2018-2019,1.24999,0.16087,0.97014,0.0026,29.47846,5.41643
5,Average,1.24984,0.06985,0.97129,0.00062,22.34426,1.87341
