,Year,MAE,MAE,Pearson_Correlation,Pearson_Correlation,MAPE,MAPE
,,mean,std,mean,std,mean,std
0,2014-2015,1.23885,0.03262,0.95057,0.00121,22.6209,2.34913
1,2015-2016,1.25315,0.04112,0.9622,0.00196,19.3792,2.10473
2,2016-2017,2.07473,0.35239,0.95872,0.00261,45.12293,11.22818
3,2017-2018,1.72012,0.20309,0.98492,0.00152,23.73227,6.45962
4,2018-2019,1.77852,0.96955,0.96673,0.00288,44.26138,25.36406
5,Average,1.61307,0.19342,0.9646,0.00097,31.02334,5.14003
