,Year,MAE,Pearson_Correlation,MAPE,Alpha,L1_ratio,λ_1,λ_2,Min number of weights from cv,Max number of weights from cv,Number Of Non-Zero Weights
0,2014-2015,1.42527,0.93508,25.60882,0.11,0.7,0.077,0.0165,29.0,389.66667,140
1,2015-2016,1.62355,0.94233,26.27749,0.34,0.7,0.238,0.051,22.33333,390.66667,65
2,2016-2017,2.4381,0.93592,57.57881,0.076,0.7,0.0532,0.0114,17.66667,392.66667,164
3,2017-2018,2.2136,0.9685,31.15636,0.001,0.7,0.0007,0.00015,13.0,390.33333,394
4,2018-2019,2.10343,0.96205,47.56232,0.002,0.7,0.0014,0.0003,13.66667,391.33333,380
5,Average,1.96079 +- 0.37752,0.94878 +- 0.01385,37.63676 +- 12.74286,0.1058,0.7,,,,,
