,Year,MAE,Pearson_Correlation,MAPE,Alpha,L1_ratio,λ_1,λ_2,Min number of weights from cv,Max number of weights from cv,Number Of Non-Zero Weights
0,2014-2015,1.72629,0.88736,26.2307,1.0,0.7,0.7,0.15,20.0,223.0,53
1,2015-2016,1.91851,0.91722,27.71823,0.84,0.7,0.588,0.126,16.66667,229.66667,57
2,2016-2017,2.55916,0.95803,62.47272,0.97,0.7,0.679,0.1455,12.28571,440.85714,44
3,2017-2018,2.69441,0.97366,50.87525,1.0,0.7,0.7,0.15,9.0,456.0,39
4,2018-2019,3.56059,0.95491,115.55002,0.93,0.7,0.651,0.1395,13.0,528.88889,40
5,Average,2.49179 +- 0.64847,0.93824 +- 0.03148,56.56938 +- 32.55399,0.948,0.7,,,,,
