Year,MAE,Pearson_Correlation,MAPE,Alpha,L1_ratio,λ_1,λ_2,Min number of weights from cv,Max number of weights from cv,Number Of Non-Zero Weights
2014-2015,1.81888,0.87321,29.01232,0.97,0.7,0.679,0.1455,20.0,387.2,51
2015-2016,1.67273,0.93837,25.97658,0.44,0.7,0.308,0.066,16.666667,390.166667,58
2016-2017,2.3261,0.95893,61.17411,0.90,0.7,0.63,0.135,13.428571,388.571429,47
2017-2018,2.90376,0.97,54.27202,0.95,0.7,0.665,0.1425,10.125,388.25,42
2018-2019,3.58566,0.9464,114.396,0.69,0.7,0.483,0.1035,13.0,390.777778,47
Average,2.46143 +- 0.70891,0.93738 +- 0.03385,56.96621 +- 31.82742,0.79,0.7,,,,
